sql_title,pandas_title,rows_match
A Light in the Attic,A Light in the Attic,True
Tipping the Velvet,Tipping the Velvet,True
Soumission,Soumission,True
Sharp Objects,Sharp Objects,True
Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind,True
The Requiem Red,The Requiem Red,True
The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,True
The Black Maria,The Black Maria,True
"Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1)",True
Shakespeare's Sonnets,Shakespeare's Sonnets,True
Set Me Free,Set Me Free,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),True
Rip it Up and Start Again,Rip it Up and Start Again,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",True
Olio,Olio,True
Mesaerion: The Best Science Fiction Stories 1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849,True
Libertarianism for Beginners,Libertarianism for Beginners,True
It's Only the Himalayas,It's Only the Himalayas,True
In Her Wake,In Her Wake,True
How Music Works,How Music Works,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",True
Chase Me (Paris Nights #2),Chase Me (Paris Nights #2),True
Black Dust,Black Dust,True
Birdsong: A Story in Pictures,Birdsong: A Story in Pictures,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,True
Aladdin and His Wonderful Lamp,Aladdin and His Wonderful Lamp,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,True
Wall and Piece,Wall and Piece,True
The Four Agreements: A Practical Guide to Personal Freedom,The Four Agreements: A Practical Guide to Personal Freedom,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,True
The Elephant Tree,The Elephant Tree,True
The Bear and the Piano,The Bear and the Piano,True
Sophie's World,Sophie's World,True
Penny Maybe,Penny Maybe,True
Maude (1883-1993):She Grew Up with the country,Maude (1883-1993):She Grew Up with the country,True
"In a Dark, Dark Wood","In a Dark, Dark Wood",True
Behind Closed Doors,Behind Closed Doors,True
You can't bury them all: Poems,You can't bury them all: Poems,True
Slow States of Collapse: Poems,Slow States of Collapse: Poems,True
Reasons to Stay Alive,Reasons to Stay Alive,True
Private Paris (Private #10),Private Paris (Private #10),True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,True
Without Borders (Wanderlove #1),Without Borders (Wanderlove #1),True
When We Collided,When We Collided,True
"We Love You, Charlie Freeman","We Love You, Charlie Freeman",True
Untitled Collection: Sabbath Poems 2014,Untitled Collection: Sabbath Poems 2014,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",True
Unicorn Tracks,Unicorn Tracks,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,True
This One Summer,This One Summer,True
Thirst,Thirst,True
